block	bin_strength	trigger_fix	prime	trigger_prime	aux	trigger_aux	target	trigger_target	post	trigger_post	strength	probe	probe_answer
1	1	24	Knees	25	can	26	bend	27	rapidly.	28	0.087	Question: KNEES are inanimate.	1
1	1	24	Lips	25	can	26	kiss	27	lovingly.	28	0.315	Question: LIPS are inanimate.	1
1	1	24	Mildew	25	can	26	stain	27	distinctly.	28	0.041	Question: MILDEW are inanimate.	2
1	1	24	Muscles	25	can	26	flex	27	involuntarily.	28	0.055	Question: MUSCLES are inanimate.	1
1	1	24	Noses	25	can	26	smell	27	immensely.	28	0.108	Question: NOSES are inanimate.	1
1	1	24	Ovens	25	can	26	cook	27	thoroughly.	28	0.218	Question: OVENS are inanimate.	2
1	1	24	Parrots	25	can	26	talk	27	annoyingly.	28	0.11	Question: PARROTS are inanimate.	1
1	1	24	Plants	25	can	26	grow	27	vibrantly.	28	0.106	Question: PLANTS are inanimate.	1
1	1	24	Politicians	25	can	26	lie	27	dishonestly.	28	0.027	Question: POLITICIANS are inanimate.	1
1	1	24	Rabbits	25	can	26	jump	27	high.	28	0.034	Question: RABBITS are inanimate.	1
1	1	24	Sharks	25	can	26	bite	27	indiscriminately.	28	0.115	Question: SHARKS are inanimate.	1
1	1	24	Singers	25	can	26	sing	27	admirably.	28	0.023	Question: SINGERS are inanimate.	1
1	1	24	Snakes	25	can	26	bite	27	quickly.	28	0.279	Question: SNAKES are inanimate.	1
1	1	24	Stomachs	25	can	26	ache	27	annoyingly.	28	0.284	Question: STOMACHS are inanimate.	1
1	1	24	Teeth	25	can	26	chew	27	food.	28	0.035	Question: TEETH are inanimate.	2
1	1	24	Thorns	25	can	26	prick	27	gardeners.	28	0.105	Question: THORNS are inanimate.	2
1	1	24	Traffic	25	can	26	jam	27	traffic.	28	0.154	Question: TRAFFIC are inanimate.	2
1	1	24	Trays	25	can	26	carry	27	food.	28	0.027	Question: TRAYS are inanimate.	2
1	1	24	Volcanos	25	can	26	erupt	27	violently.	28	0.525	Question: VOLCANOS are inanimate.	2
1	1	24	Warriors	25	can	26	fight	27	enemies.	28	0.083	Question: WARRIORS are inanimate.	1
1	1	24	Weapons	25	can	26	kill	27	people.	28	0.061	Question: WEAPONS are inanimate.	2
0	0	0	This	1	is	2	for	3	practice.	4	0	Question: This is a sentence.	2
0	0	0	Practice	1	is	2	very	3	useful.	4	0	Question: This is a sentence.	2
1	0	16	Airplanes	17	can	18	travel	19	far.	20	0.015	Question: AIRPLANES are animate.	1
1	0	16	Anchors	17	can	18	stop	19	boats.	20	0.016	Question: ANCHORS are animate.	1
1	0	16	Architects	17	can	18	draw	19	houses.	20	0.033	Question: ARCHITECTS are animate.	2
1	0	16	Babies	17	can	18	cuddle	19	loudly.	20	0.013	Question: BABIES are animate.	2
1	0	16	Bands	17	can	18	rap	19	loudly.	20	0.014	Question: BANDS are animate.	1
1	0	16	Bees	17	can	18	buzz	19	painfully.	20	0.039	Question: BEES are animate.	2
1	0	16	Bombs	17	can	18	blow	19	abruptly.	20	0.013	Question: BOMBS are animate.	1
1	0	16	Brains	17	can	18	learn	19	quickly.	20	0.011	Question: BRAINS are animate.	2
1	0	16	Burglars	17	can	18	rob	19	unnoticeably.	20	0.081	Question: BURGLARS are animate.	2
1	0	16	Children	17	can	18	laugh	19	joyfully.	20	0.014	Question: CHILDREN are animate.	2
1	0	16	Clorox	17	can	18	wash	19	clothes.	20	0.013	Question: CLOROX is animate.	1
1	0	16	Critics	17	can	18	insult	19	movies.	20	0.014	Question: CRITICS are animate.	2
1	0	16	Eagles	17	can	18	fly	19	majestically.	20	0.068	Question: EAGLES are animate.	2
1	0	16	Earthquakes	17	can	18	move	19	buildings.	20	0.021	Question: EARTHQUAKES are animate.	1
1	0	16	Eyes	17	can	18	look	19	far.	20	0.016	Question: EYES are animate.	2
1	0	16	Feet	17	can	18	walk	19	badly.	20	0.02	Question: FEET are animate.	2
1	0	16	Frogs	17	can	18	leap	19	high.	20	0.041	Question: FROGS are animate.	2
1	0	16	Guards	17	can	18	defend	19	strongly.	20	0.012	Question: GUARDS are animate.	2
1	0	16	Gymnasts	17	can	18	split	19	gracefully.	20	0.013	Question: GYMNASTS are animate.	2
1	0	16	Hearts	17	can	18	break	19	often.	20	0.016	Question: HEARTS are animate.	2
1	0	16	Insects	17	can	18	fly	19	annoyingly.	20	0.094	Question: INSECTS are animate.	2
1	0	16	Judges	17	can	18	evaluate	19	justly.	20	0.014	Question: JUDGES are animate.	2
1	0	16	Kettles	17	can	18	cook	19	quickly.	20	0.032	Question: KETTLES are animate.	1
1	0	16	Legs	17	can	18	tan	19	quickly.	20	0.014	Question: LEGS are animate.	2
1	0	16	Masks	17	can	18	disguise	19	noticeably.	20	0.048	Question: MASKS are animate.	1
1	0	16	Mosquitos	17	can	18	sting	19	painfully.	20	0.014	Question: MOSQUITOS are animate.	2
1	0	16	Needles	17	can	18	prick	19	quickly.	20	0.012	Question: NEEDLES are animate.	1
1	0	16	Oil	17	can	18	lubricate	19	haphazardly.	20	0.034	Question: OIL are animate.	1
1	0	16	Pans	17	can	18	fry	19	quickly.	20	0.128	Question: PANS are animate.	1
1	0	16	Planes	17	can	18	travel	19	distantly.	20	0.014	Question: PLANES are animate.	1
1	0	16	Police	17	can	18	arrest	19	honorably.	20	0.016	Question: POLICE are animate.	2
1	0	16	Puzzles	17	can	18	frustrate	19	immensely.	20	0.013	Question: PUZZLES are animate.	1
1	0	16	Rivers	17	can	18	run	19	deeply.	20	0.016	Question: RIVERS are animate.	1
1	0	16	Ships	17	can	18	cruise	19	dramatically.	20	0.016	Question: SHIPS are animate.	1
1	0	16	Skin	17	can	18	feel	19	unknowingly.	20	0.013	Question: SKIN are animate.	2
1	0	16	Soap	17	can	18	smell	19	well.	20	0.022	Question: SOAP are animate.	1
1	0	16	Sun	17	can	18	burn	19	skin.	20	0.047	Question: SUN is animate.	1
1	0	16	Telescopes	17	can	18	magnify	19	space.	20	0.014	Question: TELESCOPES are animate.	1
1	0	16	Threats	17	can	18	worry	19	everyone.	20	0.014	Question: THREATS are animate.	1
1	0	16	Traitors	17	can	18	cheat	19	people.	20	0.014	Question: TRAITORS are animate.	2
1	0	16	Tweezers	17	can	18	pick	19	hair.	20	0.021	Question: TWEEZERS are animate.	1
1	0	16	Volunteers	17	can	18	aid	19	victims.	20	0.013	Question: VOLUNTEERS are animate.	2
1	0	16	Wasps	17	can	18	bite	19	people.	20	0.02	Question: WASPS are animate.	2
1	0	16	Whistles	17	can	18	call	19	alertly.	20	0.016	Question: WHISTLES are animate.	1
