item,blank,block,scenario,relatedness,nonword,identifier,trigger_fix,prime,trigger_prime,target,trigger_target,post,trigger_post,probe
844,0,1,22,0,0,844 102200,32,TROUT,33,LOST,34,CLAM,35,Correct! Press button to move to the next trial
845,0,1,23,1,3,845 102313,60,BANK,61,MONEY,62,dup,63,Incorrect
846,0,1,23,0,3,846 102303,44,TEXT,45,MONEY,46,dup,47,Incorrect
847,0,1,24,1,0,847 102410,48,HAMMER,49,NAIL,50,ARMY,51,Correct! Press button to move to the next trial
848,0,1,24,0,0,848 102400,32,SKETCH,33,NAIL,34,ARMY,35,Correct! Press button to move to the next trial
849,0,1,25,1,3,849 102513,60,JET,61,PLANE,62,jafts,63,Incorrect
850,0,1,25,0,3,850 102503,44,NAP,45,PLANE,46,jafts,47,Incorrect
851,0,1,26,1,0,851 102610,48,RICH,49,POOR,50,RECIPE,51,Correct! Press button to move to the next trial
852,0,1,26,0,0,852 102600,32,EAST,33,POOR,34,RECIPE,35,Correct! Press button to move to the next trial
853,0,1,27,1,3,853 102713,60,SHOVE,61,PUSH,62,marn,63,Incorrect
854,0,1,27,0,3,854 102703,44,FALSE,45,PUSH,46,marn,47,Incorrect
855,0,1,28,1,0,855 102810,48,KING,49,QUEEN,50,NUMBER,51,Correct! Press button to move to the next trial
856,0,1,28,0,0,856 102800,32,HALT,33,QUEEN,34,NUMBER,35,Correct! Press button to move to the next trial
857,0,1,29,1,3,857 102913,60,LEFT,61,RIGHT,62,nild,63,Incorrect
858,0,1,29,0,3,858 102903,44,HERB,45,RIGHT,46,nild,47,Incorrect
859,0,1,30,1,0,859 103010,48,PEPPER,49,SALT,50,COLOR,51,Correct! Press button to move to the next trial
860,0,1,30,0,0,860 103000,32,HEIGHT,33,SALT,34,COLOR,35,Correct! Press button to move to the next trial
861,0,1,31,1,3,861 103113,60,TALL,61,SHORT,62,hine,63,Incorrect
862,0,1,31,0,3,862 103103,44,KING,45,SHORT,46,hine,47,Incorrect
863,0,1,32,1,0,863 103210,48,NAP,49,SLEEP,50,ICE,51,Correct! Press button to move to the next trial
864,0,1,32,0,0,864 103200,32,JET,33,SLEEP,34,ICE,35,Correct! Press button to move to the next trial
865,0,1,33,1,3,865 103313,60,NORTH,61,SOUTH,62,skake,63,Incorrect
866,0,1,33,0,3,866 103303,44,DRYER,45,SOUTH,46,skake,47,Incorrect
867,0,1,34,1,0,867 103410,48,HERB,49,SPICE,50,SHOVEL,51,Correct! Press button to move to the next trial
868,0,1,34,0,0,868 103400,32,LEFT,33,SPICE,34,SHOVEL,35,Correct! Press button to move to the next trial
869,0,1,35,1,3,869 103513,60,ROB,61,STEAL,62,fent   ,63,Incorrect
870,0,1,35,0,3,870 103503,44,NEW,45,STEAL,46,fent   ,47,Incorrect
871,0,1,36,1,0,871 103610,48,WEAK,49,STRONG,50,FUN,51,Correct! Press button to move to the next trial
872,0,1,36,0,0,872 103600,32,LION,33,STRONG,34,FUN,35,Correct! Press button to move to the next trial
873,0,1,37,1,3,873 103713,60,HALT,61,STOP,62,whep             ,63,Incorrect
874,0,1,37,0,3,874 103703,44,TALL,45,STOP,46,whep             ,47,Incorrect
875,0,1,38,1,0,875 103810,48,ROAD,49,STREET,50,TALE,51,Correct! Press button to move to the next trial
876,0,1,38,0,0,876 103800,32,RICH,33,STREET,34,TALE,35,Correct! Press button to move to the next trial
877,0,1,39,1,3,877 103913,60,QUIZ,61,TEST,62,sprefs,63,Incorrect
878,0,1,39,0,3,878 103903,44,WEAK,45,TEST,46,sprefs,47,Incorrect
879,0,1,40,1,0,879 104010,48,LION,49,TIGER,50,TOE,51,Correct! Press button to move to the next trial
880,0,1,40,0,0,880 104000,32,QUIZ,33,TIGER,34,TOE,35,Correct! Press button to move to the next trial
881,0,1,41,1,3,881 104113,60,FLUSH,61,TOILET,62,grerns,63,Incorrect
882,0,1,41,0,3,882 104103,44,SHOVE,45,TOILET,46,grerns,47,Incorrect
883,0,1,42,1,0,883 104210,48,OAK,49,TREE,50,STREAM,51,Correct! Press button to move to the next trial
884,0,1,42,0,0,884 104200,32,RIP,33,TREE,34,STREAM,35,Correct! Press button to move to the next trial
885,0,1,43,1,3,885 104313,60,FALSE,61,TRUE,62,murf,63,Incorrect
886,0,1,43,0,3,886 104303,44,NORTH,45,TRUE,46,murf,47,Incorrect
887,0,1,44,1,0,887 104410,48,DRYER,49,WASHER,50,FACE,51,Correct! Press button to move to the next trial
888,0,1,44,0,0,888 104400,32,FLUSH,33,WASHER,34,FACE,35,Correct! Press button to move to the next trial
889,0,1,45,1,3,889 104513,60,HEIGHT,61,WEIGHT,62,brotch,63,Incorrect
890,0,1,45,0,3,890 104503,44,PEPPER,45,WEIGHT,46,brotch,47,Incorrect
891,0,1,46,1,0,891 104610,48,EAST,49,WEST,50,SMILE,51,Correct! Press button to move to the next trial
892,0,1,46,0,0,892 104600,32,ROAD,33,WEST,34,SMILE,35,Correct! Press button to move to the next trial
893,0,1,47,1,3,893 104713,60,RIP,61,TEAR,62,stoins,63,Incorrect
894,0,1,47,0,3,894 104703,44,OAK,45,TEAR,46,stoins,47,Incorrect
895,0,1,48,1,0,895 104810,48,NEW,49,OLD,50,SEA,51,Correct! Press button to move to the next trial
896,0,1,48,0,0,896 104800,32,ROB,33,OLD,34,SEA,35,Correct! Press button to move to the next trial
897,0,1,49,1,3,897 104913,60,BELOW,61,ABOVE,62,staw,63,Incorrect
898,0,1,49,0,3,898 104903,44,TABLE,45,ABOVE,46,staw,47,Incorrect
899,0,1,50,1,0,899 105010,48,FRONT,49,BACK,50,ACTOR,51,Correct! Press button to move to the next trial
900,0,1,50,0,0,900 105000,32,THERE,33,BACK,34,ACTOR,35,Correct! Press button to move to the next trial
901,0,1,51,1,3,901 105113,60,SAND,61,BEACH,62,thand,63,Incorrect
902,0,1,51,0,3,902 105103,44,SOFT,45,BEACH,46,thand,47,Incorrect
903,0,1,52,1,0,903 105210,48,RAZOR,49,BLADE,50,BEE,51,Correct! Press button to move to the next trial
904,0,1,52,0,0,904 105200,32,FRONT,33,BLADE,34,BEE,35,Correct! Press button to move to the next trial
905,0,1,53,1,3,905 105313,60,TABLE,61,CHAIR,62,zans,63,Incorrect
906,0,1,53,0,3,906 105303,44,BRIDE,45,CHAIR,46,zans,47,Incorrect
907,0,1,54,1,0,907 105410,48,SWISS,49,CHEESE,50,VEIN,51,Correct! Press button to move to the next trial
908,0,1,54,0,0,908 105400,32,BRAWL,33,CHEESE,34,VEIN,35,Correct! Press button to move to the next trial
909,0,1,55,1,3,909 105513,60,TIME,61,CLOCK,62,hus,63,Incorrect
910,0,1,55,0,3,910 105503,44,LEAP,45,CLOCK,46,hus,47,Incorrect
911,0,1,56,1,0,911 105610,48,OPEN,49,CLOSE,50,BOAT,51,Correct! Press button to move to the next trial
912,0,1,56,0,0,912 105600,32,LATE,33,CLOSE,34,BOAT,35,Correct! Press button to move to the next trial
913,0,1,57,1,3,913 105713,60,HOT,61,COLD,62,mank ,63,Incorrect
914,0,1,57,0,3,914 105703,44,UP,45,COLD,46,mank ,47,Incorrect
915,0,1,58,1,0,915 105810,48,SOFA,49,COUCH,50,JELLY,51,Correct! Press button to move to the next trial
916,0,1,58,0,0,916 105800,32,SOIL,33,COUCH,34,JELLY,35,Correct! Press button to move to the next trial
917,0,1,59,1,3,917 105913,60,INSANE,61,CRAZY,62,trulps,63,Incorrect
918,0,1,59,0,3,918 105903,44,SUPPER,45,CRAZY,46,trulps,47,Incorrect
919,0,1,60,1,0,919 106010,48,SUPPER,49,DINNER,50,PANTS,51,Correct! Press button to move to the next trial
920,0,1,60,0,0,920 106000,32,MURDER,33,DINNER,34,PANTS,35,Correct! Press button to move to the next trial
921,0,1,61,1,3,921 106113,60,SOIL,61,DIRT,62,rilds,63,Incorrect
922,0,1,61,0,3,922 106103,44,OPEN,45,DIRT,46,rilds,47,Incorrect
923,0,1,62,1,0,923 106210,48,UP,49,DOWN,50,WORK,51,Correct! Press button to move to the next trial
924,0,1,62,0,0,924 106200,32,BAD,33,DOWN,34,WORK,35,Correct! Press button to move to the next trial
925,0,1,63,1,3,925 106313,60,LATE,61,EARLY,62,cile            ,63,Incorrect
926,0,1,63,0,3,926 106303,44,SOFA,45,EARLY,46,cile            ,47,Incorrect
927,0,1,64,1,0,927 106410,48,BRAWL,49,FIGHT,50,RULE,51,Correct! Press button to move to the next trial
928,0,1,64,0,0,928 106400,32,EMPTY,33,FIGHT,34,RULE,35,Correct! Press button to move to the next trial
929,0,1,65,1,3,929 106513,60,TOAD,61,FROG,62,prot           ,63,Incorrect
930,0,1,65,0,3,930 106503,44,TIME,45,FROG,46,prot           ,47,Incorrect
931,0,1,66,1,0,931 106610,48,EMPTY,49,FULL,50,PLACE,51,Correct! Press button to move to the next trial
932,0,1,66,0,0,932 106600,32,RAZOR,33,FULL,34,PLACE,35,Correct! Press button to move to the next trial
933,0,1,67,1,3,933 106713,60,BAD,61,GOOD,62,soag            ,63,Incorrect
934,0,1,67,0,3,934 106703,44,HOT,45,GOOD,46,soag            ,47,Incorrect
935,0,1,68,1,0,935 106810,48,BRIDE,49,GROOM,50,SYRUP,51,Correct! Press button to move to the next trial
936,0,1,68,0,0,936 106800,32,BELOW,33,GROOM,34,SYRUP,35,Correct! Press button to move to the next trial
937,0,1,69,1,3,937 106913,60,SOFT,61,HARD,62,dape,63,Incorrect
938,0,1,69,0,3,938 106903,44,TOAD,45,HARD,46,dape,47,Incorrect
939,0,1,70,1,0,939 107010,48,THERE,49,HERE,50,SPEED,51,Correct! Press button to move to the next trial
940,0,1,70,0,0,940 107000,32,SWISS,33,HERE,34,SPEED,35,Correct! Press button to move to the next trial
941,0,1,71,1,3,941 107113,60,LEAP,61,JUMP,62,swip            ,63,Incorrect
942,0,1,71,0,3,942 107103,44,SAND,45,JUMP,46,swip            ,47,Incorrect
943,0,1,72,1,0,943 107210,48,MURDER,49,KILL,50,COAL,51,Correct! Press button to move to the next trial
944,0,1,72,0,0,944 107200,32,INSANE,33,KILL,34,COAL,35,Correct! Press button to move to the next trial
945,0,1,73,1,3,945 107313,60,LEMON,61,LIME,62,hule,63,Incorrect
946,0,1,73,0,3,946 107303,44,BLACK,45,LIME,46,hule,47,Incorrect
947,0,1,74,1,0,947 107410,48,WIN,49,LOSE,50,CANDY,51,Correct! Press button to move to the next trial
948,0,1,74,0,0,948 107400,32,BOW,33,LOSE,34,CANDY,35,Correct! Press button to move to the next trial
949,0,1,75,1,3,949 107513,60,NOISE,61,LOUD,62,domp,63,Incorrect
950,0,1,75,0,3,950 107503,44,THICK,45,LOUD,46,domp,47,Incorrect
951,0,1,76,1,0,951 107610,48,FILM,49,MOVIE,50,BORING,51,Correct! Press button to move to the next trial
952,0,1,76,0,0,952 107600,32,AUNT,33,MOVIE,34,BORING,35,Correct! Press button to move to the next trial
953,0,1,77,1,3,953 107713,60,NIECE,61,NEPHEW,62,skoon,63,Incorrect
954,0,1,77,0,3,954 107703,44,SATIN,45,NEPHEW,46,skoon,47,Incorrect
955,0,1,78,1,0,955 107810,48,DAY,49,NIGHT,50,MUSIC,51,Correct! Press button to move to the next trial
956,0,1,78,0,0,956 107800,32,ILL,33,NIGHT,34,MUSIC,35,Correct! Press button to move to the next trial
957,0,1,79,1,3,957 107913,60,UNDER,61,OVER,62,tief,63,Incorrect
958,0,1,79,0,3,958 107903,44,NOISE,45,OVER,46,tief,47,Incorrect
959,0,1,80,1,0,959 108010,48,POLISH,49,SHINE,50,COW,51,Correct! Press button to move to the next trial
960,0,1,80,0,0,960 108000,32,QUENCH,33,SHINE,34,COW,35,Correct! Press button to move to the next trial
961,0,1,81,1,3,961 108113,60,SOCK,61,SHOE,62,zepth,63,Incorrect
962,0,1,81,0,3,962 108103,44,FILM,45,SHOE,46,zepth,47,Incorrect
963,0,1,82,1,0,963 108210,48,ILL,49,SICK,50,STONE,51,Correct! Press button to move to the next trial
964,0,1,82,0,0,964 108200,32,DAY,33,SICK,34,STONE,35,Correct! Press button to move to the next trial
965,0,1,83,1,3,965 108313,60,SATIN,61,SILK,62,delche,63,Incorrect
966,0,1,83,0,3,966 108303,44,NIECE,45,SILK,46,delche,47,Incorrect
967,0,1,84,1,0,967 108410,48,IRON,49,STEEL,50,BIRD,51,Correct! Press button to move to the next trial
968,0,1,84,0,0,968 108400,32,TAME,33,STEEL,34,BIRD,35,Correct! Press button to move to the next trial
969,0,1,85,1,3,969 108513,60,WAG,61,TAIL,62,spress,63,Incorrect
970,0,1,85,0,3,970 108503,44,WIN,45,TAIL,46,spress,47,Incorrect
971,0,1,86,1,0,971 108610,48,THICK,49,THIN,50,JAIL,51,Correct! Press button to move to the next trial
972,0,1,86,0,0,972 108600,32,SPOOL,33,THIN,34,JAIL,35,Correct! Press button to move to the next trial
973,0,1,87,1,3,973 108713,60,QUENCH,61,THIRST,62,rooc,63,Incorrect
974,0,1,87,0,3,974 108703,44,POLISH,45,THIRST,46,rooc,47,Incorrect
975,0,1,88,1,0,975 108810,48,SPOOL,49,THREAD,50,EAR,51,Correct! Press button to move to the next trial
976,0,1,88,0,0,976 108800,32,UNDER,33,THREAD,34,EAR,35,Correct! Press button to move to the next trial
977,0,1,89,1,3,977 108913,60,ONCE,61,TWICE,62,soit,63,Incorrect
978,0,1,89,0,3,978 108903,44,SOCK,45,TWICE,46,soit,47,Incorrect
979,0,1,90,1,0,979 109010,48,AUNT,49,UNCLE,50,MILK,51,Correct! Press button to move to the next trial
980,0,1,90,0,0,980 109000,32,ONCE,33,UNCLE,34,MILK,35,Correct! Press button to move to the next trial
981,0,1,91,1,3,981 109113,60,NOUN,61,VERB,62,helf           ,63,Incorrect
982,0,1,91,0,3,982 109103,44,IRON,45,VERB,46,helf,47,Incorrect
983,0,1,92,1,0,983 109210,48,RUN,49,WALK,50,HORSE,51,Correct! Press button to move to the next trial
984,0,1,92,0,0,984 109200,32,INK,33,WALK,34,HORSE,35,Correct! Press button to move to the next trial
985,0,1,93,1,3,985 109313,60,BLACK,61,WHITE,62,drung,63,Incorrect
986,0,1,93,0,3,986 109303,44,LEMON,45,WHITE,46,drung,47,Incorrect
987,0,1,94,1,0,987 109410,48,TAME,49,WILD,50,SQUARE,51,Correct! Press button to move to the next trial
988,0,1,94,0,0,988 109400,32,NOUN,33,WILD,34,SQUARE,35,Correct! Press button to move to the next trial
989,0,1,95,1,3,989 109513,60,BOW,61,ARROW,62,yiss,63,Incorrect
990,0,1,95,0,3,990 109503,44,RUN,45,ARROW,46,yiss,47,Incorrect
991,0,1,96,1,0,991 109610,48,INK,49,PEN,50,COPY,51,Correct! Press button to move to the next trial
992,0,1,96,0,0,992 109600,32,WAG,33,PEN,34,COPY,35,Correct! Press button to move to the next trial
401,0,1,97,0,1,401 109701,36,pels           ,37,Incorrect,38,Incorrect,39,Incorrect
402,0,1,97,0,1,402 109701,36,pels           ,37,Incorrect,38,Incorrect,39,Incorrect
403,0,1,98,0,1,403 109801,36,nurche,37,Incorrect,38,Incorrect,39,Incorrect
404,0,1,98,0,1,404 109801,36,nurche,37,Incorrect,38,Incorrect,39,Incorrect
405,0,1,99,0,1,405 109901,36,kib  ,37,Incorrect,38,Incorrect,39,Incorrect
406,0,1,99,0,1,406 109901,36,kib  ,37,Incorrect,38,Incorrect,39,Incorrect
407,0,1,100,0,1,407 110001,36,fusk           ,37,Incorrect,38,Incorrect,39,Incorrect
408,0,1,100,0,1,408 110001,36,fusk           ,37,Incorrect,38,Incorrect,39,Incorrect
409,0,1,101,0,1,409 110101,36,doss ,37,Incorrect,38,Incorrect,39,Incorrect
410,0,1,101,0,1,410 110101,36,doss ,37,Incorrect,38,Incorrect,39,Incorrect
411,0,1,102,0,1,411 110201,36,palb,37,Incorrect,38,Incorrect,39,Incorrect
412,0,1,102,0,1,412 110201,36,palb,37,Incorrect,38,Incorrect,39,Incorrect
413,0,1,103,0,1,413 110301,36,brare,37,Incorrect,38,Incorrect,39,Incorrect
414,0,1,103,0,1,414 110301,36,brare,37,Incorrect,38,Incorrect,39,Incorrect
415,0,1,104,0,1,415 110401,36,chents,37,Incorrect,38,Incorrect,39,Incorrect
416,0,1,104,0,1,416 110401,36,chents,37,Incorrect,38,Incorrect,39,Incorrect
417,0,1,105,0,1,417 110501,36,yade          ,37,Incorrect,38,Incorrect,39,Incorrect
418,0,1,105,0,1,418 110501,36,yade          ,37,Incorrect,38,Incorrect,39,Incorrect
419,0,1,106,0,1,419 110601,36,crench,37,Incorrect,38,Incorrect,39,Incorrect
420,0,1,106,0,1,420 110601,36,crench,37,Incorrect,38,Incorrect,39,Incorrect
421,0,1,107,0,1,421 110701,36,fum             ,37,Incorrect,38,Incorrect,39,Incorrect
422,0,1,107,0,1,422 110701,36,fum             ,37,Incorrect,38,Incorrect,39,Incorrect
423,0,1,108,0,1,423 110801,36,skurk,37,Incorrect,38,Incorrect,39,Incorrect
424,0,1,108,0,1,424 110801,36,skurk,37,Incorrect,38,Incorrect,39,Incorrect
425,0,1,109,0,1,425 110901,36,slagn,37,Incorrect,38,Incorrect,39,Incorrect
426,0,1,109,0,1,426 110901,36,slagn,37,Incorrect,38,Incorrect,39,Incorrect
427,0,1,110,0,1,427 111001,36,zear ,37,Incorrect,38,Incorrect,39,Incorrect
428,0,1,110,0,1,428 111001,36,zear ,37,Incorrect,38,Incorrect,39,Incorrect
429,0,1,111,0,1,429 111101,36,ouce,37,Incorrect,38,Incorrect,39,Incorrect
430,0,1,111,0,1,430 111101,36,ouce,37,Incorrect,38,Incorrect,39,Incorrect
431,0,1,112,0,1,431 111201,36,pank         ,37,Incorrect,38,Incorrect,39,Incorrect
432,0,1,112,0,1,432 111201,36,pank         ,37,Incorrect,38,Incorrect,39,Incorrect
433,0,1,113,0,1,433 111301,36,nur           ,37,Incorrect,38,Incorrect,39,Incorrect
434,0,1,113,0,1,434 111301,36,nur           ,37,Incorrect,38,Incorrect,39,Incorrect
435,0,1,114,0,1,435 111401,36,yalt,37,Incorrect,38,Incorrect,39,Incorrect
436,0,1,114,0,1,436 111401,36,yalt,37,Incorrect,38,Incorrect,39,Incorrect
437,0,1,115,0,1,437 111501,36,pone,37,Incorrect,38,Incorrect,39,Incorrect
438,0,1,115,0,1,438 111501,36,pone,37,Incorrect,38,Incorrect,39,Incorrect
439,0,1,116,0,1,439 111601,36,chulke,37,Incorrect,38,Incorrect,39,Incorrect
440,0,1,116,0,1,440 111601,36,chulke,37,Incorrect,38,Incorrect,39,Incorrect
441,0,1,117,0,1,441 111701,36,tarb           ,37,Incorrect,38,Incorrect,39,Incorrect
442,0,1,117,0,1,442 111701,36,tarb           ,37,Incorrect,38,Incorrect,39,Incorrect
443,0,1,118,0,1,443 111801,36,rurd,37,Incorrect,38,Incorrect,39,Incorrect
444,0,1,118,0,1,444 111801,36,rurd,37,Incorrect,38,Incorrect,39,Incorrect
445,0,1,119,0,1,445 111901,36,vounce,37,Incorrect,38,Incorrect,39,Incorrect
446,0,1,119,0,1,446 111901,36,vounce,37,Incorrect,38,Incorrect,39,Incorrect
447,0,1,120,0,1,447 112001,36,mume             ,37,Incorrect,38,Incorrect,39,Incorrect
448,0,1,120,0,1,448 112001,36,mume             ,37,Incorrect,38,Incorrect,39,Incorrect
449,0,1,121,0,1,449 112101,36,heasts,37,Incorrect,38,Incorrect,39,Incorrect
450,0,1,121,0,1,450 112101,36,heasts,37,Incorrect,38,Incorrect,39,Incorrect
451,0,1,122,0,1,451 112201,36,rond,37,Incorrect,38,Incorrect,39,Incorrect
452,0,1,122,0,1,452 112201,36,rond,37,Incorrect,38,Incorrect,39,Incorrect
453,0,1,123,0,1,453 112301,36,yarm,37,Incorrect,38,Incorrect,39,Incorrect
454,0,1,123,0,1,454 112301,36,yarm,37,Incorrect,38,Incorrect,39,Incorrect
455,0,1,124,0,1,455 112401,36,margs,37,Incorrect,38,Incorrect,39,Incorrect
456,0,1,124,0,1,456 112401,36,margs,37,Incorrect,38,Incorrect,39,Incorrect
457,0,1,125,0,1,457 112501,36,snigs,37,Incorrect,38,Incorrect,39,Incorrect
458,0,1,125,0,1,458 112501,36,snigs,37,Incorrect,38,Incorrect,39,Incorrect
459,0,1,126,0,1,459 112601,36,foafs,37,Incorrect,38,Incorrect,39,Incorrect
460,0,1,126,0,1,460 112601,36,foafs,37,Incorrect,38,Incorrect,39,Incorrect
461,0,1,127,0,1,461 112701,36,dryss,37,Incorrect,38,Incorrect,39,Incorrect
462,0,1,127,0,1,462 112701,36,dryss,37,Incorrect,38,Incorrect,39,Incorrect
463,0,1,128,0,1,463 112801,36,dofe,37,Incorrect,38,Incorrect,39,Incorrect
464,0,1,128,0,1,464 112801,36,dofe,37,Incorrect,38,Incorrect,39,Incorrect
465,0,1,129,0,1,465 112901,36,trich,37,Incorrect,38,Incorrect,39,Incorrect
466,0,1,129,0,1,466 112901,36,trich,37,Incorrect,38,Incorrect,39,Incorrect
467,0,1,130,0,1,467 113001,36,jav             ,37,Incorrect,38,Incorrect,39,Incorrect
468,0,1,130,0,1,468 113001,36,jav             ,37,Incorrect,38,Incorrect,39,Incorrect
469,0,1,131,0,1,469 113101,36,stib,37,Incorrect,38,Incorrect,39,Incorrect
470,0,1,131,0,1,470 113101,36,stib,37,Incorrect,38,Incorrect,39,Incorrect
471,0,1,132,0,1,471 113201,36,fraine,37,Incorrect,38,Incorrect,39,Incorrect
472,0,1,132,0,1,472 113201,36,fraine,37,Incorrect,38,Incorrect,39,Incorrect
